identifier|opt-in|correctable|enabled in your config|kind|analyzer|uses sourcekit|configuration
identifier_name|no|no|yes|style|no|yes|(min_length) w/e: 3/2, (max_length) w/e: 40/60, excluded: ["^id$"], allowed_symbols: [], validates_start_with_lowercase: true
implicit_getter|no|no|yes|style|no|no|warning
implicit_return|yes|yes|no|style|no|yes|severity: warning, included: [closure, function, getter]
implicitly_unwrapped_optional|yes|no|no|idiomatic|no|no|severity: warning, mode: all_except_iboutlets
inclusive_language|no|no|yes|style|no|no|severity: warning, additional_terms: [], override_terms: [], override_allowed_terms: []
indentation_width|yes|no|no|style|no|yes|severity: severity: warning, indentation_width: 4, include_comments: true, include_compiler_directives: trueinclude_multiline_strings: true
inert_defer|yes|no|no|lint|no|no|warning
invalid_swiftlint_command|no|no|yes|lint|no|yes|warning
is_disjoint|no|no|yes|idiomatic|no|no|warning
joined_default_parameter|yes|yes|no|idiomatic|no|no|warning
large_tuple|no|no|yes|metrics|no|no|warning: 2, error: 3
last_where|yes|no|no|performance|no|no|warning
leading_whitespace|no|yes|yes|style|no|no|warning
legacy_cggeometry_functions|no|yes|yes|idiomatic|no|no|warning
legacy_constant|no|yes|yes|idiomatic|no|no|warning
legacy_constructor|no|yes|yes|idiomatic|no|no|warning
legacy_hashing|no|no|yes|idiomatic|no|no|warning
legacy_multiple|yes|no|no|idiomatic|no|no|warning
legacy_nsgeometry_functions|no|yes|yes|idiomatic|no|no|warning
legacy_objc_type|yes|no|no|idiomatic|no|no|warning
legacy_random|no|no|yes|idiomatic|no|no|warning
let_var_whitespace|yes|no|no|style|no|yes|warning
line_length|no|no|yes|metrics|no|yes|warning: 120, error: 200, ignores_urls: false, ignores_function_declarations: false, ignores_comments: false, ignores_interpolated_strings: false
literal_expression_end_indentation|yes|yes|no|style|no|yes|warning
local_doc_comment|yes|no|no|lint|no|no|warning
lower_acl_than_parent|yes|yes|no|lint|no|no|warning
mark|no|yes|yes|lint|no|yes|warning
missing_docs|yes|no|no|lint|no|yes|warning: open, public, excludes_extensions: true, excludes_inherited_types: true, excludes_trivial_init: false
modifier_order|yes|yes|no|style|no|yes|severity: warning, preferred_modifier_order: [override, acl, setterACL, dynamic, mutators, lazy, final, required, convenience, typeMethods, owned]
multiline_arguments|yes|no|no|style|no|no|severity: warning, first_argument_location: any_line, only_enforce_after_first_closure_on_first_line: false
multiline_arguments_brackets|yes|no|no|style|no|no|warning
multiline_function_chains|yes|no|no|style|no|yes|warning
multiline_literal_brackets|yes|no|no|style|no|yes|warning
multiline_parameters|yes|no|no|style|no|no|severity: warning, allowsSingleLine: true
multiline_parameters_brackets|yes|no|no|style|no|yes|warning
multiple_closures_with_trailing_closure|no|no|yes|style|no|no|warning
nesting|no|no|yes|metrics|no|yes|(type_level) w: 1, (function_level) w: 2, (check_nesting_in_closures_and_statements) true, (always_allow_one_type_in_functions) false
nimble_operator|yes|yes|no|idiomatic|no|yes|warning
no_extension_access_modifier|yes|no|no|idiomatic|no|no|error
no_fallthrough_only|no|no|yes|idiomatic|no|no|warning
no_grouping_extension|yes|no|no|idiomatic|no|yes|warning
no_magic_numbers|yes|no|no|idiomatic|no|no|warning
no_space_in_method_call|no|yes|yes|style|no|no|warning
notification_center_detachment|no|no|yes|lint|no|no|warning
ns_number_init_as_function_reference|no|no|yes|lint|no|no|warning
nslocalizedstring_key|yes|no|no|lint|no|no|warning
nslocalizedstring_require_bundle|yes|no|no|lint|no|no|warning
nsobject_prefer_isequal|no|no|yes|lint|no|no|warning
number_separator|yes|yes|no|style|no|no|severity: warning, minimum_length: 0, minimum_fraction_length: none
object_literal|yes|no|no|idiomatic|no|no|severity: warning, image_literal: true, color_literal: true
opening_brace|no|yes|yes|style|no|yes|severity: warning, allowMultilineFunc: false
operator_usage_whitespace|yes|yes|no|style|no|no|severity: warning, lines_look_around: 2, skip_aligned_constants: true, allowed_no_space_operators: ["...", "..<"]
operator_whitespace|no|no|yes|style|no|no|warning
optional_enum_case_matching|yes|yes|no|style|no|no|warning
orphaned_doc_comment|no|no|yes|lint|no|no|warning
overridden_super_call|yes|no|no|lint|no|no|severity: warning, excluded: [], included: ["*"]
override_in_extension|yes|no|no|lint|no|no|warning
pattern_matching_keywords|yes|no|no|idiomatic|no|no|warning
period_spacing|yes|yes|no|style|no|no|warning
prefer_nimble|yes|no|no|idiomatic|no|no|warning
prefer_self_in_static_references|yes|yes|no|style|no|no|warning
prefer_self_type_over_type_of_self|yes|yes|no|style|no|no|warning
prefer_zero_over_explicit_init|yes|yes|no|idiomatic|no|no|warning
prefixed_toplevel_constant|yes|no|no|style|no|no|severity: warning, only_private: false
private_action|yes|no|no|lint|no|no|warning
private_outlet|yes|no|no|lint|no|no|severity: warning, allow_private_set: false
private_over_fileprivate|no|yes|yes|idiomatic|no|no|severity: warning, validate_extensions: false
private_subject|yes|no|no|lint|no|no|warning
private_unit_test|no|yes|yes|lint|no|no|warning: XCTestCase
prohibited_interface_builder|yes|no|no|lint|no|no|warning
prohibited_super_call|yes|no|no|lint|no|no|severity: warning, excluded: [[]], included: [["*"]]
protocol_property_accessors_order|no|yes|yes|style|no|no|warning
quick_discouraged_call|yes|no|no|lint|no|yes|warning
quick_discouraged_focused_test|yes|no|no|lint|no|no|warning
quick_discouraged_pending_test|yes|no|no|lint|no|no|warning
raw_value_for_camel_cased_codable_enum|yes|no|no|lint|no|no|warning
reduce_boolean|no|no|yes|performance|no|no|warning
reduce_into|yes|no|no|performance|no|no|warning
redundant_discardable_let|no|yes|yes|style|no|no|warning
redundant_nil_coalescing|yes|yes|no|idiomatic|no|no|warning
redundant_objc_attribute|no|yes|yes|idiomatic|no|no|warning
redundant_optional_initialization|no|yes|yes|idiomatic|no|no|warning
redundant_set_access_control|no|no|yes|idiomatic|no|no|warning
redundant_string_enum_value|no|no|yes|idiomatic|no|no|warning
redundant_type_annotation|yes|yes|no|idiomatic|no|yes|warning
redundant_void_return|no|yes|yes|idiomatic|no|yes|warning
required_deinit|yes|no|no|lint|no|no|warning
required_enum_case|yes|no|no|lint|no|no|No protocols configured.In config add 'required_enum_case' to 'opt_in_rules' and config using :\n\n'required_enum_case:\n{Protocol Name}:\n{Case Name}:{warning|error}\n{Case Name}:{warning|error}\n
return_arrow_whitespace|no|yes|yes|style|no|no|warning
return_value_from_void_function|yes|no|no|idiomatic|no|no|warning
self_binding|yes|yes|no|style|no|no|severity: warning, bindIdentifier: self
self_in_property_initialization|no|no|yes|lint|no|no|warning
shorthand_operator|no|no|yes|style|no|no|error
shorthand_optional_binding|yes|yes|no|idiomatic|no|no|warning
single_test_class|yes|no|no|style|no|no|severity: warning, test_parent_classes: ["QuickSpec", "XCTestCase"]
sorted_first_last|yes|no|no|performance|no|no|warning
sorted_imports|yes|yes|no|style|no|yes|warning
statement_position|no|yes|yes|style|no|yes|(statement_mode) default, (severity) warning
static_operator|yes|no|no|idiomatic|no|no|warning
strict_fileprivate|yes|no|no|idiomatic|no|no|warning
strong_iboutlet|yes|yes|no|lint|no|no|warning
superfluous_disable_command|no|no|yes|lint|no|no|warning
switch_case_alignment|no|no|yes|style|no|no|severity: warning, indented_cases: false
switch_case_on_newline|yes|no|no|style|no|no|warning
syntactic_sugar|no|yes|yes|idiomatic|no|no|warning
test_case_accessibility|yes|yes|no|lint|no|no|severity: warning, allowed_prefixes: [], test_parent_classes: ["QuickSpec", "XCTestCase"]
todo|no|no|yes|lint|no|yes|warning
toggle_bool|yes|yes|no|idiomatic|no|no|warning
trailing_closure|yes|no|no|style|no|yes|severity: warning, only_single_muted_parameter: false
trailing_comma|no|yes|no|style|no|no|severity: warning, mandatory_comma: false
trailing_newline|no|yes|yes|style|no|no|warning
trailing_semicolon|no|yes|yes|idiomatic|no|no|warning
trailing_whitespace|no|yes|yes|style|no|yes|severity: warning, ignores_empty_lines: false, ignores_comments: true
type_body_length|no|no|yes|metrics|no|no|warning: 250, error: 350
type_contents_order|yes|no|no|style|no|yes|severity: warning, order: [[SwiftLintFramework.TypeContent.case], [SwiftLintFramework.TypeContent.typeAlias, SwiftLintFramework.TypeContent.associatedType], [SwiftLintFramework.TypeContent.subtype], [SwiftLintFramework.TypeContent.typeProperty], [SwiftLintFramework.TypeContent.instanceProperty], [SwiftLintFramework.TypeContent.ibInspectable], [SwiftLintFramework.TypeContent.ibOutlet], [SwiftLintFramework.TypeContent.initializer], [SwiftLintFramework.TypeContent.typeMethod], [SwiftLintFramework.TypeContent.viewLifeCycleMethod], [SwiftLintFramework.TypeContent.ibAction], [SwiftLintFramework.TypeContent.otherMethod], [SwiftLintFramework.TypeContent.subscript], [SwiftLintFramework.TypeContent.deinitializer]]
type_name|no|no|yes|idiomatic|no|no|(min_length) w/e: 3/0, (max_length) w/e: 40/1000, excluded: [], allowed_symbols: [], validates_start_with_lowercase: true, validate_protocols: true
typesafe_array_init|yes|no|no|lint|yes|yes|warning
unavailable_condition|no|no|yes|idiomatic|no|no|warning
unavailable_function|yes|no|no|idiomatic|no|no|warning
unneeded_break_in_switch|no|no|yes|idiomatic|no|no|warning
unneeded_parentheses_in_closure_argument|yes|yes|no|style|no|no|warning
unowned_variable_capture|yes|no|no|lint|no|no|warning
untyped_error_in_catch|yes|yes|no|idiomatic|no|no|warning
unused_capture_list|yes|no|no|lint|no|no|warning
unused_closure_parameter|no|yes|yes|lint|no|no|warning
unused_control_flow_label|no|yes|yes|lint|no|no|warning
unused_declaration|yes|no|no|lint|yes|yes|severity: error, include_public_and_open: false, related_usrs_to_skip: ["s:7SwiftUI15PreviewProviderP"]
unused_enumerated|no|no|yes|idiomatic|no|no|warning
unused_import|yes|yes|no|lint|yes|yes|severity: warning, require_explicit_imports: false, allowed_transitive_imports: [], always_keep_imports: []
unused_optional_binding|no|no|yes|style|no|no|severity: warning, ignore_optional_try: false
unused_setter_value|no|no|yes|lint|no|no|warning
valid_ibinspectable|no|no|yes|lint|no|no|warning
vertical_parameter_alignment|no|no|yes|style|no|no|warning
vertical_parameter_alignment_on_call|yes|no|no|style|no|yes|warning
vertical_whitespace|no|yes|yes|style|no|yes|severity: warning, max_empty_lines: 1
vertical_whitespace_between_cases|yes|yes|no|style|no|yes|warning
vertical_whitespace_closing_braces|yes|yes|no|style|no|yes|severity: warning, only_enforce_before_trivial_lines: false
vertical_whitespace_opening_braces|yes|yes|no|style|no|yes|warning
void_function_in_ternary|no|no|yes|idiomatic|no|no|warning
void_return|no|yes|yes|style|no|yes|warning
weak_delegate|yes|no|no|lint|no|no|warning
xct_specific_matcher|yes|no|no|idiomatic|no|no|warning
xctfail_message|no|no|yes|idiomatic|no|no|warning
yoda_condition|yes|no|no|lint|no|no|warning
